,FIPS_Code,State,Year,Month,Civilian_Pop,Civilian_Labor_Force,Labor_Force_Pct,Employed_Total,Employed_Pct,Unemployed_Total,Unemployed_Rate,Population,gdp,treatment
0,1,Alabama,2010,1,3636380,2143297,58.9,1906185,52.4,237112,11.1,4785437.0,183014.5,0
1,1,Alabama,2010,2,3637985,2145780,59.0,1909481,52.5,236299,11.0,4785437.0,183014.5,0
2,1,Alabama,2010,3,3639724,2146904,59.0,1912541,52.5,234363,10.9,4785437.0,183014.5,0
3,1,Alabama,2010,4,3696845,2197720,59.4,1966202,53.2,231518,10.5,4785437.0,183014.5,0
4,1,Alabama,2010,5,3700013,2211777,59.8,1983756,53.6,228021,10.3,4785437.0,183014.5,0
5,1,Alabama,2010,6,3703287,2214822,59.8,1990063,53.7,224759,10.1,4785437.0,183014.5,0
6,1,Alabama,2010,7,3706618,2215237,59.8,1992482,53.8,222755,10.1,4785437.0,183014.5,0
7,1,Alabama,2010,8,3708665,2215825,59.7,1993456,53.8,222369,10.0,4785437.0,183014.5,0
8,1,Alabama,2010,9,3710620,2216902,59.7,1993580,53.7,223322,10.1,4785437.0,183014.5,0
9,1,Alabama,2010,10,3712775,2217869,59.7,1993177,53.7,224692,10.1,4785437.0,183014.5,0
10,1,Alabama,2010,11,3714308,2217791,59.7,1992440,53.6,225351,10.2,4785437.0,183014.5,0
11,1,Alabama,2010,12,3715741,2216409,59.6,1991718,53.6,224691,10.1,4785437.0,183014.5,0
12,2,Alaska,2010,1,514628,360431,70.0,330113,64.1,30318,8.4,713910.0,54219.0,0
13,2,Alaska,2010,2,514760,360957,70.1,330579,64.2,30378,8.4,713910.0,54219.0,0
14,2,Alaska,2010,3,514896,361357,70.2,331099,64.3,30258,8.4,713910.0,54219.0,0
15,2,Alaska,2010,4,515851,361538,70.1,331564,64.3,29974,8.3,713910.0,54219.0,0
16,2,Alaska,2010,5,516810,361511,70.0,331982,64.2,29529,8.2,713910.0,54219.0,0
17,2,Alaska,2010,6,517816,361350,69.8,332315,64.2,29035,8.0,713910.0,54219.0,0
18,2,Alaska,2010,7,518874,361237,69.6,332532,64.1,28705,7.9,713910.0,54219.0,0
19,2,Alaska,2010,8,519938,361349,69.5,332690,64.0,28659,7.9,713910.0,54219.0,0
20,2,Alaska,2010,9,520706,361682,69.5,332846,63.9,28836,8.0,713910.0,54219.0,0
21,2,Alaska,2010,10,521665,362226,69.4,333152,63.9,29074,8.0,713910.0,54219.0,0
22,2,Alaska,2010,11,522685,362765,69.4,333546,63.8,29219,8.1,713910.0,54219.0,0
23,2,Alaska,2010,12,523689,363140,69.3,333936,63.8,29204,8.0,713910.0,54219.0,0
24,4,Arizona,2010,1,4994110,3115797,62.4,2785351,55.8,330446,10.6,6407172.0,257396.9,0
25,4,Arizona,2010,2,4999841,3116749,62.3,2786396,55.7,330353,10.6,6407172.0,257396.9,0
26,4,Arizona,2010,3,5005603,3116147,62.3,2787165,55.7,328982,10.6,6407172.0,257396.9,0
27,4,Arizona,2010,4,4838466,3113354,64.3,2786810,57.6,326544,10.5,6407172.0,257396.9,0
28,4,Arizona,2010,5,4843931,3108504,64.2,2785501,57.5,323003,10.4,6407172.0,257396.9,0
29,4,Arizona,2010,6,4849422,3102036,64.0,2782917,57.4,319119,10.3,6407172.0,257396.9,0
30,4,Arizona,2010,7,4855271,3094880,63.7,2779038,57.2,315842,10.2,6407172.0,257396.9,0
31,4,Arizona,2010,8,4862034,3088178,63.5,2774664,57.1,313514,10.2,6407172.0,257396.9,0
32,4,Arizona,2010,9,4868640,3082127,63.3,2770279,56.9,311848,10.1,6407172.0,257396.9,0
33,4,Arizona,2010,10,4875453,3076852,63.1,2766599,56.7,310253,10.1,6407172.0,257396.9,0
34,4,Arizona,2010,11,4881581,3072209,62.9,2763909,56.6,308300,10.0,6407172.0,257396.9,0
35,4,Arizona,2010,12,4887492,3067605,62.8,2762374,56.5,305231,10.0,6407172.0,257396.9,0
36,5,Arkansas,2010,1,2213503,1343957,60.7,1237151,55.9,106806,7.9,2921964.0,105223.6,0
37,5,Arkansas,2010,2,2214703,1345947,60.8,1239114,55.9,106833,7.9,2921964.0,105223.6,0
38,5,Arkansas,2010,3,2215934,1348707,60.9,1242264,56.1,106443,7.9,2921964.0,105223.6,0
39,5,Arkansas,2010,4,2231366,1351964,60.6,1246062,55.8,105902,7.8,2921964.0,105223.6,0
40,5,Arkansas,2010,5,2233214,1355055,60.7,1249752,56.0,105303,7.8,2921964.0,105223.6,0
41,5,Arkansas,2010,6,2235014,1357180,60.7,1252284,56.0,104896,7.7,2921964.0,105223.6,0
42,5,Arkansas,2010,7,2237003,1358003,60.7,1253026,56.0,104977,7.7,2921964.0,105223.6,0
43,5,Arkansas,2010,8,2238891,1357870,60.6,1252260,55.9,105610,7.8,2921964.0,105223.6,0
44,5,Arkansas,2010,9,2240717,1357262,60.6,1250630,55.8,106632,7.9,2921964.0,105223.6,0
45,5,Arkansas,2010,10,2242644,1356803,60.5,1249134,55.7,107669,7.9,2921964.0,105223.6,0
46,5,Arkansas,2010,11,2244183,1356630,60.5,1248235,55.6,108395,8.0,2921964.0,105223.6,0
47,5,Arkansas,2010,12,2245614,1356570,60.4,1247898,55.6,108672,8.0,2921964.0,105223.6,0
48,6,California,2010,1,28141513,18288466,65.0,15991766,56.8,2296700,12.6,37319502.0,2056990.4,0
49,6,California,2010,2,28168472,18327194,65.1,16020128,56.9,2307066,12.6,37319502.0,2056990.4,0
